emp_id,emp_age,emp_salary,role
101,54,51725,HR Manager
102,23,38495,Accountant
103,20,35452,Operations Manager
104,43,82295,Digital Marketer
105,37,72187,Backend Developer
106,37,58915,HR Manager
107,21,76159,Backend Developer
108,35,92864,Sales Executive
109,24,76155,Sales Executive
110,38,90494,HR Executive
111,31,68641,Backend Developer
112,35,48079,Marketing Executive
113,29,56879,Sales Executive
114,38,83682,Operations Manager
115,27,94722,Digital Marketer
116,45,91041,Financial Analyst
117,51,48899,Sales Executive
118,48,68744,Operations Manager
119,20,63187,Software Developer
120,32,74146,Backend Developer
121,51,75641,Sales Executive
122,53,47678,Sales Executive
123,21,76760,Accountant
124,26,78354,Software Developer
125,53,60584,HR Executive
126,37,79898,Operations Manager
127,26,59682,Digital Marketer
128,21,71888,HR Executive
129,45,51086,Software Developer
130,30,73700,Accountant
131,20,82550,Sales Executive
132,47,71447,Marketing Executive
133,53,76100,Digital Marketer
134,53,72269,Backend Developer
135,23,73314,Software Developer
136,24,87428,Software Developer
137,21,94427,Sales Executive
138,30,84188,Accountant
139,27,52013,HR Manager
140,25,63326,Sales Executive
141,39,44396,Marketing Executive
142,20,59500,Digital Marketer
143,47,55523,HR Executive
144,41,58602,Accountant
145,22,90794,HR Executive
146,52,41061,HR Manager
147,42,82331,Software Developer
148,54,73048,Software Developer
149,31,59727,Digital Marketer
150,50,50398,Marketing Executive
